,Tweet Text,Tweet Datetime,Tweet Id,Twitter @ Name,Location Info,Retweets,Favorites,Language,Source
0,"No pares, sigue sigue 🎶

Seguimos haciendo sus envíos por @hugo_app.

Abiertos hasta las 09:00 P.M. 🤩 https://t.co/udISgZvVuX",9/17/2021 2:35,1.43869E+18,TechloverStore,,0,4,es,Twitter for Android
1,Como detesto la app de Hugo 😊,9/17/2021 1:56,1.43868E+18,isavalentinagm,,0,0,es,Twitter for iPhone
2,"RT @Radioesport914: Hablamos del partido contra el Real Madrid. El Valencia CF ha trabajado con la principal duda de Hugo Duro, con molesti…",9/17/2021 0:30,1.43866E+18,CheCapitan,,3,0,es,Twitter for Android
3,"Hoy en @elbanquillosv a las 8 PM por @Vivefmradio : 

- Entrevista con Alexis Herrera, salvadoreño del Leganés español
- Plática con Ernesto Alas, de Hugo App 
- Resumen informativo sobre LMF y Champions 

¡Imperdible! 
Gracias 
@Betcris  
#ACECENTA 
@CinemarkSV 
@SamsungLatin https://t.co/md8uDcM42X",9/17/2021 0:17,1.43866E+18,elsalvadorfc,El Salvador,0,1,es,Twitter Web App
4,"Seguí en sintonía en #La830 con ""El Cantor de la Patagonia Versionado"". Seguimos compartiendo las versiones de Hugo Giménez Agüero que llegan a la emisora📻

📻 AM 830 y FM 96.3 MHz
📲2966-700384
📱 Descargá la APP👉 https://t.co/lyCGPjEHOJ
🌐https://t.co/0L0I4pVT5B https://t.co/c2dspPBCSr",9/16/2021 23:24,1.43865E+18,LU14AM830,"Río Gallegos, Argentina",0,0,es,Twitter for Android
5,@lilyinthesuns3t Para todo los demás existe mástercard y la app de Hugo...,9/16/2021 23:19,1.43864E+18,Angelgfernandez,,0,1,es,Twitter for Android
6,"#empresarial BID le apuesta a la digitalización con US$1,5 millones de inversión en Hugo app 🕵️🏦💲🚗🏍🛵

Léalo completo: https://t.co/K6kNqP89Md

#HugoApp #inversion #dinero #dinerocomsv #ElSalvador 
@el_BID @hugoapp_",9/16/2021 23:13,1.43864E+18,dinerocomsv,"San Salvador, El Salvador",0,0,es,Twitter Web App
7,"¡Con tus tarjetas Visa de Banco Ficohsa y Hugo App tus viernes son de tranquilidad!

#FicohsaGT https://t.co/qbeN2XJi3y",9/16/2021 22:52,1.43864E+18,Ficohsaguate,Ciudad de Guatemala,0,0,es,Twitter Web App
8,RT @tucristo_app: @albinosm @claranaveira @simetria2aca @maranellymonto3 @denunci36741511 @al2bladimir @hugo_2496 • Conoce las 14 Reaccione…,9/16/2021 22:05,1.43863E+18,Al2Bladimir,"Ciudad Guayana, Venezuela",1,0,es,Twitter Web App
9,"RT @Radioesport914: Hablamos del partido contra el Real Madrid. El Valencia CF ha trabajado con la principal duda de Hugo Duro, con molesti…",9/16/2021 20:58,1.43861E+18,oscarge88,,3,0,es,Twitter for Android
10,"RT @Radioesport914: Hablamos del partido contra el Real Madrid. El Valencia CF ha trabajado con la principal duda de Hugo Duro, con molesti…",9/16/2021 20:10,1.4386E+18,ElTorisaaaaaa,,3,0,es,Twitter for Android
11,"Hablamos del partido contra el Real Madrid. El Valencia CF ha trabajado con la principal duda de Hugo Duro, con molestias en la rodilla izquierda. 

-Molestias y vendaje en la zona del tendón rotuliano. Lo vemos en @7TeleValencia 

APP
Web
91.4FM https://t.co/Px5EFpST3i",9/16/2021 20:01,1.43859E+18,Radioesport914,Valencia,3,11,es,Twitter for Android
12,RT @WWCSTX: Bitrefill Partners With El Salvador’s Super App Hugo https://t.co/HOayYE62sR https://t.co/XYhakRGzvo,9/16/2021 17:45,1.43856E+18,WWCSTX,"Kerrville, TX",1,0,es,dlvr.it
