,Tweet Text,Tweet Datetime,Tweet Id,Twitter @ Name,Location Info,Retweets,Favorites,Language,Source
0,"No pares, sigue sigue 🎶

Seguimos haciendo sus envíos por @hugo_app.

Abiertos hasta las 09:00 P.M. 🤩 https://t.co/udISgZvVuX",9/17/2021 2:35,1.44E+18,TechloverStore,,0,4,es,Twitter for Android
1,"@hugo_app como siempre de irresponsables, el banco solicita una carta por el proceso de devolución por el pedido que ustedes me cobraron y no enviaron.
Y hasta terminaron bloqueandome. Nunca enviaron nada. @Defensoria_910 como pueden trabajar este tipo de empresas IRRESPONSABLES https://t.co/Vwh4u4bmYo",9/16/2021 17:42,1.44E+18,Lilypop___,"San Salvador, El Salvador",0,0,es,Twitter for iPhone
2,"@hn_carlos @R_Villeda @hugo_app Lo q te quiero decir es q Olimpia con los Villeda, Ferrari etc NO NECESITA MANCHAR LA CAMISA con tanta publicidad es mi forma de ver, podrian hacer acuerdos comerciales de otra forma",9/16/2021 10:27,1.44E+18,17moises17,Honduras,0,0,es,Twitter for Android
3,"100 días. Increíble 

Ojalá PedidosYa les quite el negocio @hugo_app",9/16/2021 2:35,1.44E+18,oscarflores8_,Latinoamérica,0,1,es,Twitter for iPhone
4,"Llegué al punto de quitarles el permiso de notificaciones, si joden ustedes @hugo_app",9/15/2021 23:11,1.44E+18,JulioF_2012,Where Amazing Happens.,0,5,es,Twitter for iPhone
5,@kassmayorga @hugo_app Puras doñitas nosotros emocionados por compras del super jajaja,9/15/2021 22:19,1.44E+18,unguanacoentgu,Honduras,0,0,es,Twitter for Android
6,@unguanacoentgu @hugo_app Jajaja me encanta amigo🛒💜🛒💜,9/15/2021 22:13,1.44E+18,kassmayorga,Honduras,0,0,es,Twitter for iPhone
7,"@17moises17 @R_Villeda @hugo_app La camiseta como la del Atlas sí que lastima la identidad del club porque no tiene nada que ver con nuestros colores, igual fue cuando le pusieron la banda; muchos desaciertos.",9/15/2021 22:08,1.44E+18,hn_carlos,,0,0,es,Twitter Web App
8,@kassmayorga @hugo_app Ya pedí a Diprova y a la Colonia ya hice mi super jajaja,9/15/2021 22:04,1.44E+18,unguanacoentgu,Honduras,0,2,es,Twitter for Android
9,@kassmayorga @hugo_app Genial ya pido,9/15/2021 21:15,1.44E+18,unguanacoentgu,Honduras,0,0,es,Twitter for Android
10,@unguanacoentgu @hugo_app En toditos 🛒,9/15/2021 21:14,1.44E+18,kassmayorga,Honduras,0,1,es,Twitter for iPhone
11,@kassmayorga @hugo_app De que super? O de todos en la categoría super mercado,9/15/2021 21:14,1.44E+18,unguanacoentgu,Honduras,0,0,es,Twitter for Android
12,"Ey, hay 50% de descuento en sus compras arriba de L1,500 en la categoría de Supermercados en @hugo_app 🇭🇳💜 aprovechen que todavía pueden pedir! #consejosdedoñakass https://t.co/N0JuCA8wwf",9/15/2021 21:10,1.44E+18,kassmayorga,Honduras,0,2,es,Twitter for iPhone
13,"@hn_carlos @R_Villeda @hugo_app Supones mal, lo digo no por la empresa hugo sino por como cada vez mas esa camisa va pareciendo valla publicitaria Olimpia no necesita Mancharla si quiere patrocinadores q  lo hagan de otra forma",9/15/2021 21:03,1.44E+18,17moises17,Honduras,0,0,es,Twitter for Android
14,"@hugo_app para cuando tendrán integración para pagos con bitcoin? Bitrefill no es integración, eso es un servicio externo.",9/15/2021 20:41,1.44E+18,palvarezSV,Santa Rosa De Lima,0,0,es,Twitter for iPad
15,"@hugo_app Lo correcto es la primera SuperApp y no la primer SuperApp.

Corríjanlo.",9/15/2021 15:58,1.44E+18,hn_carlos,,0,0,es,Twitter Web App
16,"@17moises17 @R_Villeda Supongo que lo dices porque parece un nombre de persona. Creo que mejor debieron imprimirle @hugo_app 

Todavía podrían estar a tiempo. 

Hugo enmedio del círculo morado también, aunque quitaría bastante espacio si algún día quisieran ponerle más patrocinadores.

Buen día.",9/15/2021 15:55,1.44E+18,hn_carlos,,0,0,es,Twitter Web App
17,"RT @NacionOlimpista: En #NaciónOlimpistaRadio se dió a conocer los detalles de la firma del contrato entre @hugo_app y @CDOlimpia
 
1.🚴🏻‍♀️…",9/15/2021 15:24,1.44E+18,luracruz,,12,0,es,Twitter for Android
18,"Este 15 de septiembre queremos decirles que AMAMOS EL SALVADOR. Y que apoyamos lo local. 

Por eso nuestras plataformas principales son @hugo_app y @tuyoapp_. Plataformas hechas con amor en El Salvador. 🇸🇻",9/15/2021 15:14,1.44E+18,TechloverStore,,0,4,es,Twitter Web App
