,Tweet Text,Tweet Datetime,Tweet Id,Twitter @ Name,Location Info,Retweets,Favorites,Language,Source,Subjectivity,Polarity
0,"_  _app Sofi, yo compré unas entradas para uno de los partidos de la Selecta, y los de _app también me hicieron un doble cobro, no me dieron las entradas, y me han dado mil excusas desde hace un mes y medio para no devolverme el dinero. Y créeme que no fueron $10 pesos. 😂😡",2021-09-19 03:41:31,1439434453793771525,guillermolopezv,"San Salvador, El Salvador",0,0,es,Twitter for Android,0.0,0.0
1,En estos momento odio a  por que no me hacen mi reembolso después de 3 meses y medio y a _app por que me hacen doble cobro en mi tarjeta 🙂,2021-09-19 03:10:53,1439426745149632516,asdominguez_,,0,7,es,Twitter for Android,0.0,0.0
2,": ¡Bienvenido Hugo! 🤝_app

Esta mañana firmamos la alianza comercial con nuestro nuevo patrocinador Hugo en las instalaci…",2021-09-19 02:57:41,1439423420689752064,benavides_funez,Honduras ,28,0,es,Twitter Web App,0.0,0.0
3,: Bailar al ritmo de la hinchada 🎵🎶 y entregar a tiempo.☑️🤙🏼  _app sabe cómo hacerlo ⚽️😅 ,2021-09-19 00:00:44,1439378892234674188,JulioCMoreno14,Spirit In The Sky,2,0,es,Twitter for Android,0.0,0.0
4,: Bailar al ritmo de la hinchada 🎵🎶 y entregar a tiempo.☑️🤙🏼  _app sabe cómo hacerlo ⚽️😅 ,2021-09-18 23:16:52,1439367852801282048,edwincoleman,,2,0,es,Twitter for Android,0.0,0.0
5,Bailar al ritmo de la hinchada 🎵🎶 y entregar a tiempo.☑️🤙🏼  _app sabe cómo hacerlo ⚽️😅 ,2021-09-18 23:14:08,1439367161953366017,NacionOlimpista,Honduras,2,16,es,Twitter for iPhone,0.0,0.0
6,_sv _app cuando o donde saldrán a la venta los boletos para el partido de _SLV vs  en octubre.,2021-09-18 22:20:47,1439353737227784196,nestor7911,El Salvador,0,0,es,Twitter for iPhone,0.0,0.0
7,¿Ya vieron todos los modelos de Wacom que tenemos disponibles?  Pídelo por _app llega en 30 minutos.   LocompreenAsit intuos ,2021-09-18 20:11:35,1439321225004789768,ASIT_SV,San Salvador,0,3,es,Twitter for Android,0.0,0.0
8,"Este es el de hoy: 

103 días desde que me robaron 😠😠😠😠 HÁGANSE RESPONSABLES HIJOS DE PUTA SI LES SOBRA EL DINERO _app",2021-09-18 17:16:23,1439277132815998988,oscarflores8_,Latinoamérica,0,0,es,Twitter for iPhone,0.0,0.0
9,dejen de robarle a la gente _app,2021-09-18 17:14:57,1439276772139405326,oscarflores8_,Latinoamérica,0,0,es,Twitter for iPhone,0.0,0.0
10,"Se me había olvidado así que les van varios de un solo: 

PÁGUENME HIJOS DE PUTA _app",2021-09-18 17:14:12,1439276582959554567,oscarflores8_,Latinoamérica,0,0,es,Twitter for iPhone,0.0,0.0
