,Tweet Text,Tweet Datetime,Tweet Id,Twitter @ Name,Place Info,Retweets,Favorites,Language,Source
0,RT @pokexperto: Nuevas imágenes del Steelbook de Leyendas Pokémon Arceus de regalo con la reserva del juego en algunas tiendas. https://t.c…,2021-09-17 04:56:46,1438728616007938050,ionagol27,Zaragoza,198,0,es,Twitter for Android
1,Me voy adiós  si por azares puedo ver 4:55am Pokémon veo caso contrario no adiós,2021-09-17 04:56:29,1438728542028763137,PikOshLi,"Guayaquil, Ecuador",0,0,es,Twitter for iPhone
2,"RT @TalesofLaura: ✨Soy una cuenta nueva y busco mutuals para interactuar✨

- Pokémon 
- Stardew Valley
- Animal Crossing
- Tales of
- Fire…",2021-09-17 04:56:15,1438728484944236544,NanaStoryweaver,,87,0,es,Twitter Web App
3,"RT @_Jerryl1: Abro hilo sobre los Pokémon basados en México
Opening thread from Mexico-themed Pokémon

#Ludicolo: El Pokémon Optimista/Care…",2021-09-17 04:56:05,1438728439918366720,cashfitho,"Tegucigalpa, Honduras",66,0,es,Twitter for iPhone
4,"@swaggron333 que le hago a este Pokémon, soy algo nuevo y no sé si evolucionarlo o purificarlo o que...? https://t.co/NHIDIMB5DD",2021-09-17 04:56:00,1438728421195067396,Osvaldo51329113,,0,0,es,Twitter for Android
5,"RT @s4nscraftgamer: Hellouda banda craftera
Estoy jugando Pokémon luna 
Así que....
si me si quieren hayudarme para los nombres de mis Poké…",2021-09-17 04:55:51,1438728382322286593,s4nscraftgamer,"Acapulco de Juárez, Guerrero",1,0,es,Twitter Web App
6,"Oigan quiero un nuevo Pokèmon pero la neta los nuevos no se me antojan mucho
Alguien me quiere dar su opinión y si les han gustado, por ejemplo, Sword o Shield?",2021-09-17 04:55:20,1438728254022725634,robert_gonz,,0,0,es,Twitter for iPhone
7,"@kakaistrash Tutorial de como ser odiado por todos os fans de pokémon 

Eu odeio o charizard :D",2021-09-17 04:54:05,1438727938418094087,Bruuki2,,0,0,es,Twitter for Android
8,"RT @ComplexVortex57: 🇲🇽 Gardevoir Mexicanas 🇲🇽
Hoy no hay clases, wuuuuu!

Gardevoir ""Soledad"" por parte de @417Atomic 
Gardevoir ""Katherin…",2021-09-17 04:53:40,1438727834365800455,JojerzJ,Hidden village of ninjitsu art,10,0,es,Twitter for Android
9,@s4nscraftgamer Sigue siendo un nombre tierno para un Pokémon tierno xD,2021-09-17 04:53:24,1438727768687226883,FobiaNecro,Una Cueva de Una Montaña,0,1,es,Twitter for Android
10,"RT @CentroPokemon: Video del 5° aniversario de Pokémon GO. ""¡Las aventuras continúan!"". https://t.co/fhD7DO6oxK",2021-09-17 04:53:19,1438727743894609927,SandiStronger,,68,0,es,Twitter for iPhone
11,"RT @TalesofLaura: ✨Soy una cuenta nueva y busco mutuals para interactuar✨

- Pokémon 
- Stardew Valley
- Animal Crossing
- Tales of
- Fire…",2021-09-17 04:53:14,1438727723342565378,piti99_,,87,0,es,Twitter Web App
12,En 2 meses sale el remake de Pokemon Pearl y el otro año Splatoon 3…hasta ahí quedarán mis gastos de switch :’v,2021-09-17 04:52:29,1438727535060205570,CarmenElenaAFC,Antiguo🇸🇻/CABA🇦🇷,0,0,es,Twitter for iPhone
13,RT @Eric_Lostie: poned vuestro pokémon favorito con 2 imágenes y que los demás intenten adivinarlo https://t.co/oJ6sszsMho,2021-09-17 04:52:20,1438727496606916611,enarpan,,52,0,es,Twitter for Android
14,RT @CentroPokemon: Ya están empezando a llegar las Oreo de Pokémon 🔥 https://t.co/xncUjEadjo,2021-09-17 04:51:53,1438727385541582855,Flix10Y,Kalos,137,0,es,Twitter for Android
15,Mi pokemon favorito es Dragonite.,2021-09-17 04:50:44,1438727094297583618,PokeBotPruebas,,0,0,es,"Cheap Bots, Done Quick!"
16,yo md iba a dormir a dormir pwro que paso? me dieron ganas de jugar pokemon y ahora tengo como 10 virus en mi celular,2021-09-17 04:50:13,1438726966518108160,sweetAoyagi,she/he 16,0,1,es,Twitter for Android
17,Sigo jugando el post game del pokemon ultra sun o ya le doy al Zelda: a link between worlds? https://t.co/V15rlfr8DV,2021-09-17 04:50:02,1438726919927869449,JustPlik,,0,2,es,Twitter for Android
18,"@hawkeistyping Hahaha ¿Verdad? 
Solo digo que la siguiente etapa es Pokémon. Cubriría toda Brikwel.",2021-09-17 04:49:40,1438726828441604097,carogb_,"Queensland, Australia",0,0,es,Twitter for Android
19,Quiero conectar Pokémon Go con la Switch en el Let’s Go Eevee pero me sale eso (aunque tengo activado el Bluetooth). Ayuda! Qué puedo hacer? 8( https://t.co/CWo7IUP4FS,2021-09-17 04:49:36,1438726810750099456,luquicookie,,0,0,es,Twitter for iPhone
20,@hawkeistyping @carogb_ QUIERO SER UN POKEMON TODOS SEREMOS POKEMON,2021-09-17 04:49:25,1438726763165667329,quasarjjoe,🦖🐶🐹.,0,1,es,Twitter for Android
21,"RT @El_senor_Erizo: Hubo insistencia en que dibujara a Lopunny, y como se trata de (junto a Cinccino) el Pokémon que más usé durante la qui…",2021-09-17 04:49:14,1438726718559248390,FoxArt950,,16,0,es,Twitter for Android
22,"RT @CentroPokemon: Un nuevo ending se estrenará en el episodio de Viajes Pokémon que se transmitirá en unas horas.

Contará con la particip…",2021-09-17 04:48:59,1438726654923321356,heypiikachu,Guatemala,13,0,es,Twitter for Android
23,RT @catillo596: Nuevas Figuras de Pokémon Scale World. https://t.co/1jnrITJtaY,2021-09-17 04:48:33,1438726547695968260,pokemonados,"Rio de Janeiro, Brasil",1,0,es,Twitter for Android
24,RT @catillo596: Ahora hay 3 Pokémon Ocultos? Donde estaban los Dibujos 👀 https://t.co/OatYitJo8c,2021-09-17 04:48:14,1438726466209001473,pokemonados,"Rio de Janeiro, Brasil",1,0,es,Twitter for Android
25,"RT @_Jerryl1: Abro hilo sobre los Pokémon basados en México
Opening thread from Mexico-themed Pokémon

#Ludicolo: El Pokémon Optimista/Care…",2021-09-17 04:48:06,1438726434936090633,Robyn_ry,,66,0,es,Twitter for Android
26,Entre el fifa y pokemon unite no se vuantos años de vida tenga,2021-09-17 04:47:47,1438726352627277829,BonJoni91,México,0,0,es,Twitter for Android
27,Ahora todos elegimos un Pokémon (?) https://t.co/qY90b8r4ei,2021-09-17 04:46:10,1438725948027908096,carogb_,"Queensland, Australia",0,2,es,Twitter for Android
28,Ahora hay 3 Pokémon Ocultos? Donde estaban los Dibujos 👀 https://t.co/OatYitJo8c,2021-09-17 04:46:08,1438725939903479808,catillo596,,1,1,es,Twitter for Android
