,Tweet Text,Tweet Datetime,Tweet Id,Twitter @ Name,Place Info,Retweets,Favorites,Language,Source,Tweet Text_cln,Subjectivity,Polarity
0,"Oshawott community day?

Redownloading Pokemon Go right now",2021-09-19 20:33:22,1439689091373731844,hiccupasterisk,"Houston, TX",0,0,en,Twitter for Android,"Oshawott community day?

Redownloading Pokemon Go right now",0.5357142857142857,0.2857142857142857
1,RT @Nickwheee: Turned my characters into Pokemon trainers! Studying the Pokemon style actually taught me a lot about how I could better sim…,2021-09-19 20:33:21,1439689087993192449,MisterJulianArt,"Houston, TX",17,0,en,Twitter for iPhone,: Turned my characters into Pokemon trainers! Studying the Pokemon style actually taught me a lot about how I could better sim…,0.3,0.25
2,"Pokemon Kyurem vs the sword of Justice. 

Why does nobody talk about this film? 

It's a crime because it's really fun to watch, from the journey Keldeo goes on and, well just about everything Kyurem does this film is just a blast to watch. Super underrated film . #SamMovieWatch https://t.co/k6g24cCdED",2021-09-19 20:33:20,1439689083882778626,BewearRocket,,0,0,en,Twitter Web App,"Pokemon Kyurem vs the sword of Justice. 

Why does nobody talk about this film? 

It's a crime because it's really fun to watch, from the journey Keldeo goes on and, well just about everything Kyurem does this film is just a blast to watch. Super underrated film . SamMovieWatch ",0.43333333333333335,0.31666666666666665
3,"Reinstalled Pokemon go and uh i have a *few* legendaries 
The 2076 Giratina is a perfect 3 star lol https://t.co/C3dYimY429",2021-09-19 20:33:19,1439689081907261440,letter_co1,,0,0,en,Twitter for iPhone,"Reinstalled Pokemon go and uh i have a *few* legendaries 
The 2076 Giratina is a perfect 3 star lol ",0.6,0.5333333333333333
4,"If you join or return to Pokémon GO using my referral code 9WYBKBCHG, you’ll instantly get 100 Poké Balls, be able to earn special bonus items, and more. https://t.co/KzSoeei1Ub #pokemongo #niantic",2021-09-19 20:33:19,1439689078505492480,LOrdaz25,,0,0,en,Twitter for iPhone,"If you join or return to Pokémon GO using my referral code 9WYBKBCHG, you’ll instantly get 100 Poké Balls, be able to earn special bonus items, and more.  pokemongo niantic",0.5907738095238095,0.3392857142857143
5,RT @catface_otd: the :3 face character of the day is Momo from Pokemon! https://t.co/wCkcCNW9mV,2021-09-19 20:33:13,1439689053767622659,ceru_bii,💧❄🌻 | 🔥🌻 | ❄🌻 | 🍷🧪 ,93,0,en,Twitter Web App,_otd: the :3 face character of the day is Momo from Pokemon! ,1.0,0.625
6,"RT @VirtuousEffects: Winner Art for @AoiVino !!
Congrats and thanks again for participating. Thanks ever so much for your patience as well.…",2021-09-19 20:33:10,1439689043646746628,ArcanineRDSP,21 Essex Drive,7,0,en,Twitter for Android,": Winner Art for  !!
Congrats and thanks again for participating. Thanks ever so much for your patience as well.…",0.20000000000000004,0.20000000000000004
7,"@Phorone_S @ShimiMarui Ladles and Gentlemints of the Jury,

The prosecution would like to present you the Pokemon Anime S1E22, the episode with Haunter and Sabrina. In that episode, Haunter licks off his own eyes. HIS OWN EYES.

If it pleases the court, what would happen if Haunter LICK dat ass?",2021-09-19 20:33:07,1439689027758686210,HakuPamfer,"Seattle, Las Vegas, Anaheim",0,0,en,Twitter Web App,"_S  Ladles and Gentlemints of the Jury,

The prosecution would like to present you the Pokemon Anime S1E22, the episode with Haunter and Sabrina. In that episode, Haunter licks off his own eyes. HIS OWN EYES.

If it pleases the court, what would happen if Haunter LICK dat ass?",0.6666666666666666,0.39999999999999997
8,RT @Pokemon: Hope you're stocked up on potions! 😫 https://t.co/s77krns4mO,2021-09-19 20:33:06,1439689024042643460,BrendanPais,6ix,602,0,en,Twitter for iPhone,: Hope you're stocked up on potions! 😫 ,0.0,0.0
9,"RT @aDrive_tK: 🚨GRADED ALT ART DRAGONITE V GIVEAWAY!🚨

🎊Winner chosen 9/22
🐦Follow me and @tgacards
♻️Retweet
💕Tag a Friend

✨GOOD LUCK!✨…",2021-09-19 20:33:03,1439689013900681217,ISSR89,,856,0,en,Twitter for Android,"_tK: 🚨GRADED ALT ADRAGONITE V GIVEAWAY!🚨

🎊Winner chosen 9/22
🐦Follow me and 
♻️Retweet
💕Tag a Friend

✨GOOD LUCK!✨…",0.0,0.0
